canonical_name,variants,n_responses,schools,proposed_type,matched_rule,domains,needs_review
Cochrane and Area Humane Society's PACE Program,Cochrane and Area Humane Society's PACE Program,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said certifying_body: association/council/institute-of pattern,,False
College of International Education,College of International Education,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
College Raptor,College Raptor,1,General,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: job board / e-commerce / SaaS list,,False
Collin College,Collin College,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
Comprehensive/Professional Programs (In-Person),Comprehensive/Professional Programs (In-Person),1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
Corporate training or bather-to-stylist paths,Corporate training or bather-to-stylist paths,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
CourseHorse,CourseHorse,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said platform: platform list (course marketplace),,False
CPL Event Decorating School,CPL Event Decorating School,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
CPPS-Certified Professional Pet Sitter®,CPPS-Certified Professional Pet Sitter®,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
CPS-DW,CPS-DW,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
cvlinens.com,cvlinens.com,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: job board / e-commerce / SaaS list,cvlinens.com,False
CynoDo Academy,CynoDo Academy,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Dallas College,Dallas College,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
Davron,Davron,1,General,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Decor Arabia,Decor Arabia,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Decorating Den,Decorating Den,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
DesignFiles,DesignFiles,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: job board / e-commerce / SaaS list,,False
DIGMODA Academy,DIGMODA Academy,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
DIYK9,DIYK9,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said certifying_body: bare acronym - UNVERIFIED,,False
Dog Grooming Academy of Indianapolis,Dog Grooming Academy of Indianapolis,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Dog Walking Business Owner,Dog Walking Business Owner,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
Doggone Rite Dog Grooming Academy,Doggone Rite Dog Grooming Academy,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Dreamy Dogs Grooming Academy,Dreamy Dogs Grooming Academy,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Eastern Kentucky University,Eastern Kentucky University,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
Eastside Academy of Dog Grooming,Eastside Academy of Dog Grooming,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Elevify's Pet Bather & Groomer Course,Elevify's Pet Bather & Groomer Course,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Eloise Market and Cakery,Eloise Market and Cakery,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Emory University’s Event Planning & Management Certificate,Emory University’s Event Planning & Management Certificate,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university - but may sell a standalone certificate (flagged),,False
Etsy,Etsy,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: job board / e-commerce / SaaS list,,False
Event Academy,Event Academy,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Event Decor Technology on Udemy,Event Decor Technology on Udemy,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Event Decorating Academy (EDA),Event Decorating Academy (EDA),1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Event Industry Council,Event Industry Council,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said certifying_body: known certifying body,,False
Event Leadership Institute,Event Leadership Institute,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Eventbrite and Event Planning Certification,Eventbrite and Event Planning Certification,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Eventective,Eventective,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: job board / e-commerce / SaaS list,,False
Eventive,Eventive,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
FGCU / FIU (Florida),FGCU / FIU (Florida),1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Florida Dog Groomer School,Florida Dog Groomer School,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Florida International University (FIU),Florida International University (FIU),1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
Free YouTube Tutorials,Free YouTube Tutorials,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
FutureLearn,FutureLearn,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said platform: platform list (course marketplace),,False
Garver Grooming,Garver Grooming,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
GateWay Community College,GateWay Community College,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
George Mason University’s Online Event Management and Design,George Mason University’s Online Event Management and Design,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university - but may sell a standalone certificate (flagged),,False
Glassdoor,Glassdoor,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: job board / e-commerce / SaaS list,,False
Groomadog Course Online,Groomadog Course Online,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
GroomHaus,GroomHaus,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Grooming School of Indiana,Grooming School of Indiana,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
GW School of Business,GW School of Business,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
GWSB International,GWSB International,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Hivelife,Hivelife,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Hound Therapy,Hound Therapy,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Husson University,Husson University,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
HVCC (Herkimer County Community College),HVCC (Herkimer County Community College),1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
IACP CDT,IACP CDT,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
imexevents.com,imexevents.com,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),imexevents.com,False
In The Details Weddings,In The Details Weddings,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Institute of Event Management,Institute of Event Management,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said certifying_body: association/council/institute-of pattern,,False
Institute of Modern Dog Trainers,Institute of Modern Dog Trainers,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said certifying_body: association/council/institute-of pattern,,False
Institute of Wedding and Event Planning,Institute of Wedding and Event Planning,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said certifying_body: association/council/institute-of pattern,,False
International Academy,International Academy,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
International Special Events Society (ISES),International Special Events Society (ISES),1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said certifying_body: association/council/institute-of pattern,,False
Jean Donaldson's Academy for Dog Trainers,Jean Donaldson's Academy for Dog Trainers,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Jess Rona,Jess Rona,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
JKL Grooming Academy,JKL Grooming Academy,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Lab productora,Lab productora,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
learn2groomdogs.com,learn2groomdogs.com,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),learn2groomdogs.com,False
Les Roches,Les Roches,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Little Design Corner,Little Design Corner,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Local Community Colleges,Local Community Colleges,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
local community colleges or vocational schools,local community colleges or vocational schools,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
Louisiana Culinary Institute,Louisiana Culinary Institute,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
LSIB,LSIB,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said certifying_body: bare acronym - UNVERIFIED,,False
Madison College,Madison College,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
Maker’s Row,Maker’s Row,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Management & Strategy Institute,Management & Strategy Institute,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
MCI Certified,MCI Certified,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Merryfield Academy,Merryfield Academy,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Montgomery College,Montgomery College,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
MUNBYN,MUNBYN,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: job board / e-commerce / SaaS list,,False
National Cat Groomers Institute,National Cat Groomers Institute,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
National Dog Groomers,National Dog Groomers,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
National Dog Groomers Association,National Dog Groomers Association,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said certifying_body: association/council/institute-of pattern,,False
Nevada State University,Nevada State University,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
New York (Wagner) Wedding and Event Planning,New York (Wagner) Wedding and Event Planning,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
New York Academy of Pet Styling,New York Academy of Pet Styling,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
North Carolina Central University,North Carolina Central University,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
North Carolina State University,North Carolina State University,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
North Seattle College Corporate Event Planner (CEP),North Seattle College Corporate Event Planner (CEP),1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university - but may sell a standalone certificate (flagged),,False
OCSO Careers,OCSO Careers,1,General,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Olesia Cake Studio,Olesia Cake Studio,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Online Courses,Online Courses,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
Online programs,Online programs,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
Online/Self-Study Programs,Online/Self-Study Programs,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
Palm Beach State College,Palm Beach State College,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
Paragon online certificate courses,Paragon online certificate courses,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Perfect Venue,Perfect Venue,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: job board / e-commerce / SaaS list,,False
Pet Care Ins,Pet Care Ins,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: job board / e-commerce / SaaS list,,False
Pet Industry Federation (PIF),Pet Industry Federation (PIF),1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said certifying_body: known certifying body,,False
Pet Photographer,Pet Photographer,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
Pet Professional Guild (PPG) / Pet Professional Accreditation Board (PPAB),Pet Professional Guild (PPG) / Pet Professional Accreditation Board (PPAB),1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said certifying_body: association/council/institute-of pattern,,False
Pet Sitter/Boarder,Pet Sitter/Boarder,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
Petco,Petco,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Petco Academy,Petco Academy,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Peticademy,Peticademy,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Pets Playground Pet Grooming School,Pets Playground Pet Grooming School,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
PetSmart,PetSmart,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
PetSmart Groomer Class,PetSmart Groomer Class,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Pettable Academy,Pettable Academy,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
PetTech,PetTech,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Pippy's Puppy Parlor LLC,Pippy's Puppy Parlor LLC,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Poshe Event Course,Poshe Event Course,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Poshevents Online,Poshevents Online,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Private Grooming Academies,Private Grooming Academies,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Professional grooming school,Professional grooming school,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
PSI CPPS,PSI CPPS,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Purdue,Purdue,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
Purdue’s Canine Care Certified,Purdue’s Canine Care Certified,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Red Cross,Red Cross,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Revelation Pets,Revelation Pets,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: job board / e-commerce / SaaS list,,False
Rover,Rover,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: job board / e-commerce / SaaS list,,False
Royal Dog Academy,Royal Dog Academy,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Santa Monica College,Santa Monica College,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
Senior Dog Vets,Senior Dog Vets,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
SHMS,SHMS,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said certifying_body: bare acronym - UNVERIFIED,,False
Shopify,Shopify,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: job board / e-commerce / SaaS list,,False
Short-Term/Basic Certification Programs (In-Person),Short-Term/Basic Certification Programs (In-Person),1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
Stacey’s Canine Design,Stacey’s Canine Design,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Stautzenberger College,Stautzenberger College,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
Super Styling Sessions,Super Styling Sessions,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Team Dog,Team Dog,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Tellington TTouch Canada,Tellington TTouch Canada,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Tellington TTouch® Online Learning Platform,Tellington TTouch® Online Learning Platform,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Tellington TTouch® Practitioner Training,Tellington TTouch® Practitioner Training,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Temple University Event Leadership,Temple University Event Leadership,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university - but may sell a standalone certificate (flagged),,False
The Canine University,The Canine University,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
The CWP Society - Sheree Amour Weddings & Event Planning,The CWP Society - Sheree Amour Weddings & Event Planning,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said certifying_body: association/council/institute-of pattern,,False
The Event Management Course,The Event Management Course,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
The Event School London,The Event School London,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
The Pooch Parlor Groomer Academy,The Pooch Parlor Groomer Academy,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
The Wedding Planner School (US),The Wedding Planner School (US),1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Therapy Dog Training Certification Course,Therapy Dog Training Certification Course,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Thimble,Thimble,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: job board / e-commerce / SaaS list,,False
TimetoPet,TimetoPet,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: job board / e-commerce / SaaS list,,False
Tipsy Cake OKC,Tipsy Cake OKC,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Trade school / hands-on grooming schools,Trade school / hands-on grooming schools,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
Triple Crown Academy,Triple Crown Academy,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
UCLA Extension,UCLA Extension,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
UCLA Extension’s Event Planning and Management Specialization,UCLA Extension’s Event Planning and Management Specialization,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university - but may sell a standalone certificate (flagged),,False
Udacity,Udacity,1,General,not_actionable,low volume (n<=2) - abstains; rule said platform: platform list (course marketplace),,False
UGA,UGA,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
University of Florida,University of Florida,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
University of Houston’s Master Event Design,University of Houston’s Master Event Design,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university - but may sell a standalone certificate (flagged),,False
University of New Orleans (UNO),University of New Orleans (UNO),1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
University of North Carolina at Charlotte,University of North Carolina at Charlotte,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
University of Texas at San Antonio's Certified Master Wedding and Event Planner,University of Texas at San Antonio's Certified Master Wedding and Event Planner,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university - but may sell a standalone certificate (flagged),,False
University/College Hospitality Programs with Event Concentrations,University/College Hospitality Programs with Event Concentrations,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
Urban Pawsibilities,Urban Pawsibilities,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
US Career Institute,US Career Institute,1,General,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
US News,US News,1,General,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: job board / e-commerce / SaaS list,,False
veterinary behavior,veterinary behavior,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
Veterinary Technician,Veterinary Technician,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
Virginia School of Pet Grooming,Virginia School of Pet Grooming,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Virginia Schools,Virginia Schools,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Vocational Schools/Community Colleges,Vocational Schools/Community Colleges,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: generic noun - no proper noun,,False
WA Academy,WA Academy,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Wagbar,Wagbar,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: job board / e-commerce / SaaS list,,False
Wagner,Wagner,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Wake Tech,Wake Tech,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
Wake Technical Community College,Wake Technical Community College,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: university / college,,False
webber.edu,webber.edu,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),webber.edu,False
Wedding Planner Institute,Wedding Planner Institute,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
Wedding Planning Institute (WPI),Wedding Planning Institute (WPI),1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
WeddingMart,WeddingMart,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
Weddings Beautiful Online,Weddings Beautiful Online,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
WeddingWire,WeddingWire,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: job board / e-commerce / SaaS list,,False
WedTech Academy - Lovegevity,WedTech Academy - Lovegevity,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
West Coast Hybrid Course,West Coast Hybrid Course,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
WooCommerce,WooCommerce,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said not_actionable: job board / e-commerce / SaaS list,,False
Xtra Dog Academy,Xtra Dog Academy,1,QC Pet Studies,not_actionable,low volume (n<=2) - abstains; rule said competitor: named school/program word,,False
YWED Global,YWED Global,1,QC Event Planning,not_actionable,low volume (n<=2) - abstains; rule said competitor: default (no rule matched),,False
